jp_pointer	jp_address	jp_string	jp_text	en_text
800a4a84	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4a88	8003a684	8140814081408349836a814081408140	　　　オニ　　　	       Oni      
800a4a8c	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4a90	8003a670	814081408d958368838c8343834e8140	　　黒ドレイク　	   Black Drake  
800a4a94	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4a98	8003a65c	8.14081408140834E+031	　　　アサシン　	    Assassin    
800a4a9c	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4aa0	8003a648	8341834383658380836e8393835e815b	アイテムハンター	   Item Hunter  
800a4aa4	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4aa8	8003a634	814081408140836f834f837883418140	　　　バグベア　	     Bugbear    
800a4aac	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4ab0	8003a620	814081408341834e838a838783458140	　　アクリョウ　	   Evil Spirit  
800a4ab4	8003a748	8140814097ec8146838c8378838b	　　霊：レベル	  Spirit: Level 
800a4ab8	8003a60c	8140814081408ef48f708e7481408140	　　　呪術師　　	  Witch Doctor  
800a4abc	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4ac0	8003a5f8	81408140834a8347838b926a8edd8140	　　カエル男爵　	    Frog Baron    
800a4ac4	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4ac8	8003a5e4	81408345834683418345838b83748140	　ウェアウルフ　	    Werewolf    
800a4acc	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4ad0	8003a5d0	8140836f815b8354815b834a815b8140	　バーサーカー　	    Berserker   
800a4ad4	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4ad8	8003a5bc	8.14081408140837E+031	　　　ドラゴン　	     Dragon     
800a4adc	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4ae0	8003a5a8	8140814081408349815b834b81408140	　　　オーガ　　	      Ogre      
800a4ae4	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4ae8	8003a594	8.14081408374834E+031	　　ファントム　	     Phantom    
800a4aec	8003a748	8140814097ec8146838c8378838b	　　霊：レベル	  Spirit: Level 
800a4af0	8003a580	81408140836f83938370834383418140	　　バンパイア　	     Vampire    
800a4af4	8003a748	8140814097ec8146838c8378838b	　　霊：レベル	  Spirit: Level 
800a4af8	8003a56c	8140814090d483688389835383938140	　　赤ドラゴン　	   Red Dragon   
800a4afc	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4b00	8003a558	8.14081409492837E+031	　　白ドラゴン　	  White Dragon  
800a4b04	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4b08	8003a544	814081408140837d8357839381408140	　　　マジン　　	      Devil     
800a4b0c	8003a534	814088ab96828146838c8378838b	　悪魔：レベル	   Demon: Level 
800a4b10	8003a520	814081408140837d8349834581408140	　　　マオウ　　	      Maou      
800a4b14	8003a534	814088ab96828146838c8378838b	　悪魔：レベル	   Demon: Level 
800a4b18	8003a50c	814081408377838b834b834383418140	　　ヘルガイア　	    Hell Gaia   
800a4b1c	8003a534	814088ab96828146838c8378838b	　悪魔：レベル	   Demon: Level 
800a4b20	8003a4f8	81408140814083528352838d81408140	　　　ココロ　　	     Kokoro     
800a4b24	8003a534	814088ab96828146838c8378838b	　悪魔：レベル	   Demon: Level 
800a4b28	8003a4e4	814081408140834c8356839381408140	　　　キシン　　	     Kishin     
800a4b2c	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4b30	8003a4d0	814081408d9583688389835383938140	　　黒ドラゴン　	  Black Dragon  
800a4b34	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4b38	8003a4bc	8140814090c283688389835383938140	　　青ドラゴン　	   Blue Dragon  
800a4b3c	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4b40	8003a4a8	814081408be083688389835383938140	　　金ドラゴン　	   Gold Dragon  
800a4b44	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4b48	8003a494	814081408be283688389835383938140	　　銀ドラゴン　	  Silver Dragon 
800a4b4c	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4b50	8003a480	8140814081408bc990ed8b5381408140	　　　極戦鬼　　	Supreme WarDemon
800a4b54	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4b58	8003a46c	814083588379834e83678389838b97b3	　スペクトラル竜	 Spectral Dragon
800a4b5c	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4b60	8003a458	814082a082ce82ea8352834383938140	　あばれコイン　	   Bandit Coin  
800a4b64	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4b68	8003a444	814083728393837b8352834383938140	　ビンボコイン　	    Poor Coin   
800a4b6c	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4b70	8003a430	814081408ef482a28352834383938140	　　呪いコイン　	   Cursed Coin  
800a4b74	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4b78	8003a41c	8140814095618b438352834383938140	　　病気コイン　	  Diseased Coin 
800a4b7c	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4b80	8003a408	8140814089a4976c8352834383938140	　　王様コイン　	    King Coin   
800a4b84	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4b88	8003a3f4	814081408375838a8382838a83938140	　　ブリモリン　	     Brimlin    
800a4b8c	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4b90	8003a3e0	814081408140837d83938372815b8140	　　　マンビー　	     Manbie     
800a4b94	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4b98	8003a3cc	814081408140834d8383837681408140	　　　ギャプ　　	      Gyapu     
800a4b9c	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4ba0	8003a3b8	8140834e8343815b8393838d815b8359	　クイーンローズ	    Queenrose   
800a4ba4	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4ba8	8003a3a4	8140814081408140905f814081408140	　　　　神　　　	      Kami      
800a4bac	8003a534	814088ab96828146838c8378838b	　悪魔：レベル	   Demon: Level 
800a4bb0	8003a390	8140814083678343838c814081408140	　　トイレ　　　	     Toilet     
800a4bb8	8003a37c	8370839389ae82cc8386834582b382f1	パン屋のユウさん	Mr Yuu the Baker
800a4bc0	8003a368	81408378836283688353815b838c8380	　ベッドゴーレム	    Bed Golem    
800a4bc8	8003a354	8.14081408140814E+031	　　　　　　　　	                
800a4bcc	8003a344	81408140835a815b837582cc919c	　　セーブの像	   Save Statue  
800a4bd0	8003a330	8140814095f394a08140814081408140	　　宝箱　　　　	      Chest     
800a4bd4	8003a320	8140814081408140838c8378838b	　　　　レベル	          Level 
800a4bd8	8003a30c	814082c782ad82eb82cc95f394a08140	　どくろの宝箱　	   Skull Chest  
800a4bdc	8003a320	8140814081408140838c8378838b	　　　　レベル	          Level 
800a4be0	8003a2f8	814081408be082cc95f394a081408140	　　金の宝箱　　	   Gold Chest   
800a4be4	8003a320	8140814081408140838c8378838b	　　　　レベル	          Level 
